,Freq,processes,
62,1,weather,weather
61,1,watershed flow,watershed flow
142,4,water and sediment hg,water and sediment hg
219,46,canopy cover,forest characteristics
201,17,dbh,forest characteristics
194,14,basal area,forest characteristics
197,14,forest structure,forest characteristics
164,6,vegetation characteristics,vegetation structure
151,5,tree density,forest characteristics
123,4,coarse woody debris,vegetation structure
136,4,snag density,forest characteristics
141,4,vegetation complexity,vegetation structure
108,3,canopy height,forest characteristics
120,3,shrub height,vegetation structure
70,2,canopy closure,forest characteristics
76,2,forest cover,forest characteristics
99,2,sapling density,vegetation structure
101,2,stem density,vegetation structure
104,2,tree basal area,forest characteristics
105,2,vegetation density,vegetation structure
58,1,tree layers,forest characteristics
60,1,vegetation diversity,vegetation structure
213,36,vegetation structure,vegetation structure
190,11,vegetation cover,vegetation structure
167,7,shrub cover,vegetation structure
98,2,sapling cover,vegetation structure
106,2,vine cover,vegetation structure
202,17,urbanization,urbanization
210,27,ground cover,vegetation structure
205,20,shrub density,vegetation structure
139,4,understory vegetation,vegetation structure
140,4,understory vegetation density,vegetation structure
19,1,forb cover,vegetation structure
21,1,ground voer,vegetation structure
23,1,herb height,vegetation structure
24,1,herbaceous cover,vegetation structure
59,1,understory vegetation cover,vegetation structure
150,5,traffic noise,traffic noise
56,1,time since disturbance,time since disturbance
55,1,time off territory,time off territory
138,4,territory vacancy,territory vacancy
181,8,territory size,territory size
103,2,territory establishment,territory establishment
224,101,territory density,territory density
193,13,territory defense,territory defense
100,2,soil calcium,soil calcium
130,4,male return rate,site fidelity
149,5,site fidelity,site fidelity
199,14,singing rate,singing rate
188,10,singing,singing rate
163,6,song,singing rate
148,5,singing males,singing males
49,1,sex ratio,sex ratio
96,2,resettlement,settlement
119,3,settlement,settlement
97,2,resource availability,resource availability
223,94,reproductive success,reproductive success
65,2,annual fecundity,reproductive success
48,1,reproductive succcess,reproductive success
135,4,renesting attempts,renesting attempts
95,2,recruitment,recruitment
89,2,parental feeding,provisioning rate
94,2,provisioning rates,provisioning rate
39,1,nest provisionining,provisioning rate
166,7,predator abundance,predator abundance
143,5,avian predators,predator abundance
134,4,raptors,predator abundance
137,4,snakes,predator abundance
107,3,avian predator,predator abundance
117,3,nest predator abundance,predator abundance
84,2,mammalian predator abundance,predator abundance
86,2,nest predator activity,predator abundance
33,1,mammalian predators,predator abundance
