Reference,Article type,Years of data collection,Coordinates,Surrounding landscape,Forest type,Focal taxa,Pathways,
"Bollinger, E.K., and E.T. Linder. 1994. Reproductive success of Neotropical migrants in a fragmented Illinois forest. The Wilson Bulletin, 106: 46-54.",article,1991-1992,"39, -88",agriculture,,"GCFL, ACFL, REVI, WOTH, OVEN, WEWA, LOWA, KEWA, SCTA",patch size > reproductive success > age structure,
"Friesen, L.E., P.F. Eagles, and R.J. MacKay. 1995. Effects of residential development on forest-dwelling Neotropical migrant songbirds. Conservation Biology, 9: 1408-1414.",article,1992-1994,"43, -80",residential,maple beech birch,community,patch size + housing development > bird abundance,
"Williams Jr, G.E. 2002. Relations of nesting behavior, nest predators, and nesting success of Wood Thrushes (Hylocichla mustelina) to habitat characteristics at multiple scales. West Virginia University.",thesis,1998-2000,"38, -79*",regenerating forest,maple beech birch,WOTH,patch size > nest provisionining > nest attendance > nest predation,
"MacDonald-Beyers, K. 2008. Habitat interactions structuring songbird communities across forest-urban edges. Rutgers University.",thesis,2002-2004,"40, -74*",urban,hardwood wetland,community,patch size + matrix type > bird species richness + bird abundance,
"Beyeler, S.C. 2009. Factors affecting songbird richness, abundance, and nest survival in riparian forests in a Midwestern agricultural landscape. University of Illinois Urbana-Champaign.",thesis,2003-2005,"38, -89*",agriculture,,"YBCU, ACFL, WOTH, AMRO, GRCA, BRTH, EATO, OVEN, LOWA, PROW, KEWA, NOCA, INBU",forest width > bird abundance; distance to edge + forest width > nest success; predation + weather + parasitism > nest failure; invasive plant nest substrates > nest concealment > nest success,
"Newell, F.L., and M.S. Kostalos. 2007. Wood thrush nests in dense understory may be vulnerable to predators. The Wilson Journal of Ornithology, 119: 693-702.",article,2003-2004,"40, -79*","roads, houses, grassy recreational areas, fields",maple beech birch,WOTH,distance to edge + nest placement + understory vegetation density + canopy cover + nest concealment > nest success,
"Jack, J., T. Rytwinski, L. Fahrig, and C.M. Francis. 2015. Influence of traffic mortality on forest bird abundance. Biodiversity and Conservation, 24: 1507-1529.",article,2012,"44, -77*",roads; agriculture,mixed,community,distance to edge > bird abundance; matrix + forest dissection > bird abundance; distance to edge > traffic noise > bird abundance; forest dissection > traffic noise + canopy cover + ground voer + shrub density,
"Schieck, J., and K.A. Hobson. 2000. Bird communities associated with live residual tree patches within cut blocks and burned habitat in mixedwood boreal forests. Canadian Journal of Forest Research, 30: 1281-1295.",article,1997-1998,"55, -114*","logging, regenerating forest, bogs",white/red/jack pine,community,patch size + time since disturbance > bird community,
"Monkkonen, M., P. Helle, B.J. Niemi, and K. Montgomery. 1997. Heterospecific attraction affects community structure and migrant abundances in northern breeding bird communities. Canadian Journal of Zoology, 75: 2077-2083.",article,1993-1994,"47, -92",reservoir,aspen birch,"NOFL, LEFL, REVI, VEER, AMRO, SOSP, OVEN, BAWW, AMRE, MAWA, YEWA, CSWA, YRWA",island size > bird abundance; bird density > heterospecific attraction > settlement > migrant density,
"Bayne, E.M., and K.A. Hobson. 2002. Apparent survival of male Ovenbirds in fragmented and forested boreal landscapes. Ecology, 83: 1307-1316.",article,1996-1999,"53, -106","agriculture, forestry",,OVEN,fragmentation > reproductive success > dispersal > apparent survival > male age,
"Wilson, G.R., M.C. Brittingham, and L.J. Goodrich. 1998. How well do artificial nests estimate success of real nests? The Condor, 100: 357-364.",article,1993-1994,"40, -75*",agriculture,oak hickory,WOTH,patch size > nest predation + brood parasitism > nest success,
